author_name,author_location,rating,title,body,product,source,source_review_id,source_url,verified,status,reviewed_at
Rachel D.,"Denver, CO",5,"Best sleep in years","The Brightside Hybrid completely fixed my back pain. Firm but cushioned, and it sleeps cool. I recommend it to everyone.",Hybrid Mattress,google,g-1001,https://maps.google.com/review/g-1001,true,published,2026-02-09
Owen H.,"Bristol, UK",4,"Great mattress, long delivery","Really comfortable once it arrived, but the boxed delivery took almost three weeks. Worth the wait in the end.",Original Mattress,trustpilot,tp-2042,https://trustpilot.com/review/tp-2042,true,published,2026-03-15
Mei L.,"Vancouver, BC",5,"Cloud-like and cool","No more waking up hot. The Hybrid breathes really well and the edge support is solid for sitting on the side.",Hybrid Mattress,google,g-1002,https://maps.google.com/review/g-1002,true,published,2026-03-28
Carlos M.,"Phoenix, AZ",2,"Too soft for me","It was much softer than I expected and I sank in too far. Returns were handled fine, but the firmness rating felt off.",Original Mattress,trustpilot,tp-2043,https://trustpilot.com/review/tp-2043,true,published,2026-04-02
Sophie B.,"Leeds, UK",5,"Pillow is a game changer","Bought the cooling pillow to go with the mattress and it's fantastic. Holds its shape all night.",Cooling Pillow,website,,,true,published,2026-04-18
Jamal K.,"Atlanta, GA",4,"Solid value","Comparable to mattresses twice the price. Took a couple of nights to break in but very happy now.",Original Mattress,google,g-1003,https://maps.google.com/review/g-1003,false,published,2026-04-25
Hannah W.,"Portland, OR",3,"Good but motion transfer","Comfortable, but I feel my partner move more than I'd like. The Hybrid might have been the better pick for us.",Original Mattress,trustpilot,tp-2044,https://trustpilot.com/review/tp-2044,true,published,2026-05-01
Diego R.,"Austin, TX",5,"Exceeded expectations","Set up in minutes, expanded fully within an hour, and felt premium from night one. The 100-night trial sealed it.",Hybrid Mattress,google,g-1004,https://maps.google.com/review/g-1004,true,published,2026-05-08
Freya N.,"Edinburgh, UK",1,"Arrived damaged","My first mattress had a torn seam. Support replaced it quickly, but the initial experience was frustrating.",Hybrid Mattress,trustpilot,tp-2045,https://trustpilot.com/review/tp-2045,true,published,2026-05-12
Priscilla A.,"Miami, FL",5,"Hot sleeper approved","I run hot and this is the first mattress that hasn't left me sweating. The cooling cover really works.",Hybrid Mattress,website,,,true,published,2026-05-19
